,delta
0,3.918
1,1.338082
2,3.3203521180000015
3,2.988316906199998
4,2.1691330975800014
5,8.799999999999997
6,7.221200000000003
7,9.891199999999998
8,10.008182410056229
9,1.7915221978782228
10,4.789730675680339
11,5.242820600000002
12,8.405908203532888
13,1.7849409450046636
14,1.95966533809397
15,3.0696988042845845
16,5.783156004059663
17,4.9030670965074705
18,8.314558981136969
19,4.1149546586072745
20,5.127453711502511
21,5.122326257791002
22,5.898319915437611
23,6.399825818739288
24,2.942070679949012
25,11.375690778211904
26,4.647863611954108
27,9.850650324586525
28,8.283392635217467
29,2.3102812722749775
30,8.579516281626724
31,4.479205158677502
32,6.020066567637599
33,10.062826136542071
34,5.418059910873836
35,10.692931454064365
36,3.8694555237824204
37,5.759308367408238
38,10.476885933885796
39,6.41737753066738
40,7.440457560186417
41,8.559017102626228
42,10.164517716033288
43,10.855108917987877
44,6.048065944429993
45,2.207587769219117
46,8.715437736845502
47,7.586830887817769
48,7.71597082848325
49,7.8899252501911405
50,8.57136936522403
51,3.7254763454038198
52,-0.07468813065884206
53,6.376549566694337
54,6.254871254635816
55,7.806838303766369
56,4.0386263207130355
57,6.286193154156763
58,9.980459986495362
59,6.242330190226994
60,3.9073408197183426
61,6.446921712621645
62,9.610180519217067
63,10.1549601320134
64,8.510570338697846
65,4.7217769015045405
66,8.24864166601293
67,12.549466495592071
68,6.209337991457687
69,0.08766541220836643
70,-0.08509899056150516
71,-0.08501389157095218
72,11.047180836374537
73,6.203040988053942
74,4.581395635959495
75,10.588155472535504
76,8.973884677217256
77,10.07649620949553
78,2.7779809886319526
79,5.05648296684808
80,2.3502986658385225
81,2.115268799254636
82,4.9037419193292635
83,10.894652989986753
84,8.482059966077259
85,6.324350258758841
86,6.644911627629767
87,4.249761484018222
88,10.138435683113471
89,7.347577906111155
90,3.4374259823321154
91,0.9051979816340463
92,10.048135849822529
93,9.193894853740403
94,7.274505368366363
95,1.8004488332312576
96,3.1514436326031046
97,9.22156669933031
98,6.185645865771903
99,7.81050522560497
100,8.617829875650045
101,6.60921204577437
102,5.5945790704768115
103,8.065460119252862
104,9.920106892770491
105,9.702602833728633
106,9.888653884032692
107,8.89978849562931
108,0.747356821014364
109,7.5259283779861335
110,4.651946123923835
111,1.6472941778001768
112,5.645646883622248
113,7.719880494250219
114,5.201078236465946
115,12.316665374458353
116,5.719433139192915
117,3.678481003021716
118,5.632281356244221
119,3.868228756987719
120,6.899571054610988
121,9.674488246810142
122,8.411813758563312
123,4.275993600956554
124,10.42348121417649
125,11.091874924291233
126,6.210880361722502
127,12.544195126038403
128,6.111125951203803
129,1.890206285944032
130,5.609326022619371
131,5.803291819534252
132,11.501578322958721
133,8.153731287167489
134,9.33835815845066
135,8.538240872564074
136,4.49590665722792
137,5.342804805285027
138,10.457618228358342
139,8.382586378094175
140,10.730093574698003
141,8.557084217228294
142,0.052902416920005635
143,2.593259078368419
144,11.8141236046406
145,6.527802609336959
146,10.942173305563983
147,7.521274806727661
148,8.564562180873509
149,3.0203877501048737
150,11.146487108367069
151,8.3516766684794
152,-0.06181869175372867
153,2.2375107041452793
154,11.934783266811678
155,-0.05563682257820801
156,3.5788516956854437
157,5.0925876249223165
158,3.313328862430126
159,3.575272843989751
160,12.399205245960047
161,2.0977270555868017
162,6.007284721364158
163,1.573339783441952
164,6.486852165480286
165,3.8381669489324395
166,1.5613725520313437
167,7.246316887788453
168,9.594869107541854
169,3.552904266234691
170,5.015598370727048
171,7.898146028211386
172,9.584168403890999
173,9.58172133416815
174,5.064317573192284
175,9.73590517509615
176,-21.995038716605222
177,39.99627543006204
178,4.53580019018932
179,1.688078543167876
180,4.923410030967716
181,3.6585479532504905
182,8.8372159597875
183,3.132718391626895
184,3.6460521893375244
185,9.46978848981189
186,6.649584724921397
187,9.490357734163354
188,5.170530065252933
189,6.572625924784461
190,9.164625506845141
191,2.304167025281231
192,7.708081550209954
193,6.455633135077733
194,3.5376310386036494
195,5.459475867808578
196,10.046712178155758
197,9.397799162148658
198,2.027106798452678
199,6.724356045656123
200,4.864374035355468
201,10.397898578671175
202,3.1094794512769113
203,8.358108720804012
204,5.62598426950899
205,2.499013492113363
206,5.913914769400662
207,6.310788178277335
208,7.275151545611152
209,6.493732238312759
210,4.842881274584897
211,4.358593147126612
212,3.4892393270756656
213,0.3501685257945155
214,4.485750087748556
215,4.390261895061485
216,7.098470872933376
217,7.451247956566931
218,9.543796708609989
219,5.81551889416005
220,9.33137208208177
221,7.434252911901467
222,9.526818658989441
223,6.417291840330563
224,11.767920205023984
225,1.8769213482105442
226,5.4127396513051735
227,11.196642489518126
228,5.16564259070401
229,2.4656774332761415
230,2.4632117558430764
231,6.4392340999270345
232,7.408997627142071
233,8.705869904010797
234,11.376282913609884
235,4.218823079594358
236,11.68080145502131
237,6.401588629515118
238,2.8622309610850607
239,1.6160387335371524
240,2.3118776014850937
241,3.574868078713507
242,7.789733487709782
243,6.395187040885276
244,1.1962509697239057
245,7.499356378871653
246,10.752858855553313
247,4.078946083269102
248,0.9877938542558695
249,9.2720994243507
250,3.641698150728189
251,7.389959530045871
252,5.418386902998918
253,11.344190874177912
254,5.109134329129802
255,2.2761440014471646
256,11.49422583007754
257,9.478844770394971
258,-28.140564376450584
259,52.63277336317287
260,9.469365925624516
261,0.8287380827582638
262,-0.3741321425543447
263,12.302721176168461
264,14.36614645362124
265,3.8028203970498
266,7.994963838142894
267,1.3225383573449108
268,11.136398751705656
269,3.0902942133250235
270,3.316211325700124
271,4.759110626998563
272,2.2503515163714383
273,8.554177569786134
274,11.526881452063208
275,1.4752015441861204
276,6.844804765681829
277,7.349376967104263
278,3.951601421604437
279,-0.14104110659764046
280,3.3974864403244283
281,4.394088953883966
282,1.3896948649301066
283,10.360994123681849
284,3.391125453343193
285,5.377944175941593
286,2.372566231765404
287,6.885565090424279
288,6.50098438232385
289,3.363308100443419
290,8.74168615422036
291,4.057517538798038
292,7.461765784918498
293,5.359944792342958
294,7.968280745953052
295,6.328183878879827
296,14.370844197953602
297,11.807759778158243
298,6.870529386438648
299,6.801083534717918
300,4.3466165668046415
301,9.252483899065737
302,8.314985165614416
303,4.78229297134726
304,5.705866044718505
305,5.30406367421233
306,6.2894552269813175
307,3.8045097042831912
308,4.3422699502380055
309,9.802985250867096
310,6.296583823803303
311,6.290287239979534
312,16.590999284220743
313,9.38399695273938
314,16.023915054119698
315,0.006455230212395691
316,7.60672447365323
317,7.653431546024876
318,3.3303209558139315
319,6.513019930706378
320,8.274606500556729
321,6.736579139188052
322,6.6656277707620575
323,4.005905527792493
324,3.3204776149277677
325,-37.70543293180913
326,52.53816606974647
327,7.745440866949593
328,2.600840904719007
329,10.228380029821437
330,10.387056777927683
331,8.205542026839339
332,9.359725147623521
333,7.250365422476079
334,10.160699760791886
335,12.165666133918876
336,10.031099520527277
337,11.41398956847388
338,1.2909777743889208
339,9.24839741129108
340,7.782159886704449
341,9.435436584377385
342,10.921943898033987
343,12.939495142481064
344,6.243115057053728
345,8.236871941996469
346,8.228635070054224
347,13.893699213074797
348,9.320406434984307
349,9.211086028549289
350,0.5085013872476338
351,13.033401989225695
352,6.201366441133359
353,7.195165074692341
354,12.337545303061233
355,13.128790772755565
356,13.331911695479903
357,-1.5916951061271902
358,-36.159936839617785
359,66.43377358933049
360,0.5674744044858926
361,11.35944777258328
362,1.276653394625555
363,13.827255221444375
364,9.518322676469325
365,-0.9939860829713325
366,8.346125077085617
367,3.3357765781629496
368,5.253203360932275
369,7.986192233284328
370,7.189988116402219
371,4.312899084174205
372,18.281174362916317
373,0.5233802601442221
374,1.23996396533812
375,12.150395491051768
376,9.079355941946687
377,8.827200082700074
378,1.4676914748856689
379,12.053313155939122
380,10.089781530443815
381,5.877146788026039
382,9.403866569499314
383,4.319810698911169
384,7.250483554908897
385,2.2198070197591733
386,6.286483934615717
387,10.831089726056234
388,9.276487245851968
389,4.8023037089178615
390,3.2113007288044173
391,5.208089428076164
392,14.711893120772856
393,10.978781057972355
394,9.162408454897559
395,10.516981389209832
396,7.7082832502892416
397,4.339352118066927
398,7.999888317355726
399,12.569389273683555
400,7.148906694324978
401,9.012792547686331
402,2.0905262368287367
403,9.461074986895255
404,8.318475390364256
405,2.9840806267829976
406,8.113606981954035
407,5.19342026366121
408,1.1882268433978425
409,8.253346506320213
410,7.969772786665089
411,2.791478349036879
412,1.9566946967261174
413,8.297706248449686
414,7.986584121843862
415,8.18792570965934
416,2.675330514133293
417,2.2732546022079987
418,9.988577358850307
419,7.633990859592814
420,8.11585876070194
421,-0.14433337875379948
422,1.1770500391953647
423,4.457326254394047
424,4.175872989155778
425,12.026472263221876
426,9.207742901941856
427,2.688039338927865
428,7.817391584192137
429,6.098535159039329
430,2.419235405035579
431,4.944618670139334
432,-46.493713530380774
433,69.40576933390639
434,3.5031167744427876
435,15.66785720558346
436,10.492788923465923
437,1.4184527974130106
438,6.327087658557502
439,4.522961713036693
440,10.751076195143924
441,-0.3112627294176491
442,15.577974535900466
443,3.615655957562012
444,5.6487111920214375
445,7.083840072819839
446,5.375456065537492
447,10.879153565417255
448,7.246556252094251
449,1.2274709395728678
450,6.91494666196013
451,5.223451995764208
452,11.39567062537617
453,-46.35148650267274
454,57.8578106299683
455,7.855969420962538
456,13.413302183195356
457,12.071971964875047
458,8.091329433812462
459,6.925522153785096
460,6.782279822823057
461,10.810264166956586
462,6.083238104378324
463,8.077154866274213
464,2.7729435217106584
465,9.45993074463513
466,1.179706352231733
467,4.480566310995528
468,0.6660857446845512
469,3.241419658939776
470,7.143921427580608
471,1.599403038086166
472,9.548424826550217
473,4.539462734277549
474,9.541276996286797
475,5.2307046867190365
476,7.042989154588213
477,5.833634218046882
478,6.338690239129846
479,7.061759139283367
480,6.054697380144262
481,-39.47824888956757
482,61.01501150805052
483,-37.15957631497304
484,70.1884824079034
485,9.823483081240738
486,9.967134773116868
487,10.223421295805565
