,delta
0,3.918
1,3.8
2,9.187882000000002
3,5.148081999999999
4,3.9089339180000024
5,-0.012975015918001986
6,3.9050379590979176
7,7.089840807256813
8,3.9011329211388173
9,0.17477913976813397
10,6.790812117999998
11,10.711356101286604
12,5.784372020560909
13,3.714469434900238
14,9.148755107553328
15,9.97834498040261
16,4.715138936463205
17,9.861161543810766
18,9.688300382266931
19,13.09153448161672
20,9.782381033455039
21,5.0584864871869115
22,4.637894963439521
23,9.304933092341031
24,8.969553595397485
25,5.9189118828766425
26,3.8221255827490097
27,4.223580142858452
28,3.8837055351588674
29,6.280665129919214
30,6.274384464789307
31,11.091347775332224
32,4.8741370172418215
33,5.242534306597804
34,0.01386247140990804
35,1.7658315189114546
36,10.796210351836521
37,9.464752562505964
38,6.554957466643202
39,2.7532694770407034
40,4.176692047699987
41,3.759022842929994
42,2.0771205586369774
43,6.866154664158387
44,6.263235943307279
45,8.48284191797842
46,6.532377145902274
47,6.061322727336176
48,8.544972707363968
49,9.626427734656602
50,11.880288655350398
51,9.779801306921911
52,11.560460119200684
53,7.404414107280559
54,-0.2488830372965367
55,5.592863986363739
56,2.806703408974272
57,4.077441225215807
58,9.884636329089176
59,9.678871017524386
60,3.762675253902671
61,5.908278745952998
62,9.696472614098298
63,2.6646475486318195
64,7.914685884366122
65,1.80349687620145
66,5.131357512500131
67,2.67263965973126
68,2.567276708766883
69,-0.08329056794190137
70,5.1287277155051925
71,-4.402727737397015
72,23.764828644014756
73,9.760961326828124
74,9.751200365501347
75,13.51457151678693
76,10.910114365108257
77,9.741449165135805
78,9.731707715970629
79,11.746945459827032
80,0.43504968637739694
81,13.704990138078983
82,2.1063201687497894
83,13.56849112427119
84,11.657688815920551
85,0.947199891585683
86,3.8119219691011494
87,4.257439817865929
88,10.620035603881433
89,9.144199945170044
90,0.3154401828510345
91,-0.10988995286811587
92,6.94813078615914
93,3.339882007061874
94,12.147372338130708
95,10.210881253205912
96,0.48909890794163857
97,6.231940884374012
98,5.682526556195057
99,2.6768440296389144
100,11.943461698612964
101,3.8366539627742213
102,7.749115528751645
103,5.310151003843316
104,7.489499717937406
105,5.291111610912594
106,6.498024025356813
107,9.351685320433944
108,9.52508953601216
109,9.386106478483157
110,2.444762796324653
111,5.276548806780397
112,7.870809751344154
113,5.3459043458664155
114,8.032104091485394
115,11.083728776209796
116,4.808603060124483
117,4.516182831181595
118,6.64056454806348
119,10.322841946016979
120,8.674076606871722
121,4.460335093424874
122,1.6290220458290605
123,4.627393023783043
124,-11.570718888308193
125,32.48539072006247
126,4.803669752869155
127,5.652107820604556
128,4.634336349647583
129,9.255592049863026
130,9.672874841211296
131,3.996000933462028
132,10.683251546569409
133,9.559205965436604
134,6.593047592244147
135,5.609763169701637
136,11.00031146552044
137,5.362140221906657
138,9.900280318968385
139,8.54964675947133
140,6.5410971127118955
141,-10.219863707429113
