,delta
0,2.648
1,4.062152000000001
2,2.393784799999999
3,10.3671377432
4,4.679546636576799
5,9.826346636576801
6,9.64279245336342
7,7.0818510899040845
8,7.193327092106479
9,7.05882948836495
10,8.658004618164568
11,4.87047244737883
12,2.058088996726738
13,8.190370693369857
14,5.329971261224159
15,6.048129669575275
16,7.2033498898362325
17,2.7136080054660283
18,4.4422472049194255
19,7.26429339219149
20,12.621991172638303
21,6.749285808616577
22,8.463099593462317
23,1.8097558797993258
24,2.7256520487846387
25,8.893661391081281
26,11.382295251973176
27,7.403664765842734
28,1.3562150869409209
29,4.854863823745291
30,4.762316727236396
31,5.98269445279405
32,5.977288104745639
33,8.207150686175481
34,6.192067212202431
35,8.726925707355946
36,6.584061020735646
37,5.8126322647107145
38,4.026757700830387
39,3.5039279574214106
40,1.847535161679275
41,2.7453850551922017
42,4.560936642873429
43,7.347407778855825
44,8.056265108818536
45,6.706824616168888
46,10.407114018969992
47,7.8962693648736035
48,5.738078733494149
49,6.922404112344111
50,5.195372341091343
51,1.7254182506483176
52,1.72369283239766
53,4.4813307816975225
54,5.7219691395652035
55,2.7162471704257314
56,7.555772823574046
57,8.69492241921165
58,11.11391486185562
59,7.686227496792412
60,10.42650566538316
61,9.602556860220034
62,7.004855098844814
63,3.3503469417287306
64,5.591312247555834
65,3.8301352552696244
66,9.778541269295658
67,12.367399407089977
68,5.067629648251341
69,4.4151973154029065
70,5.686866683426274
71,8.3900049685613
72,9.668762728026309
73,4.848467128981667
74,2.697585145463165
75,1.6948875603176816
76,6.707113055492869
77,6.036401749943593
78,6.548962956970854
79,9.65424549816936
80,2.481397996878968
81,3.686643709800421
82,7.9859605651724905
83,8.486970364853732
84,6.565364508655307
85,5.641798833589974
86,1.7265199752192757
87,7.089366142315157
88,9.73646805584076
89,5.005683485586246
90,5.027427670563156
91,5.022400242892559
92,8.84335707426635
93,9.753540450812125
94,2.504534485575391
95,9.07662742083528
96,9.026135319802847
97,-0.14597004891015786
98,-0.14582407886132387
99,2.502321745217614
100,6.25351515653756
101,4.762133855216916
102,8.640415930418271
103,9.72196945392966
104,4.3137235243021905
105,10.165907942221452
106,2.88235117187196
107,7.774501263410571
108,9.705051409779571
109,5.4932865387845595
110,7.231686593977315
111,8.2310746203284
112,2.47855972045852
113,-0.1719188392620481
114,-0.17174692042272
115,10.939305370922398
116,7.6193216604120835
117,7.565028538502133
118,9.8223273196827
119,4.232525684652046
120,9.422114630494889
121,3.8092731161867732
122,8.857021205947945
123,3.7308179991583756
124,4.361264004652298
125,5.11744138479844
126,9.352001530925236
127,6.393435203730405
128,4.431764301282101
129,6.5847356304461755
130,5.385968349100949
131,11.601901071807788
132,5.847371514190854
133,3.104577345033931
134,4.5699875199300095
135,9.473029509005073
136,8.562347567432539
