,delta
0,5.152000000000001
1,9.891
2,8.310048
3,5.1468479999999985
4,3.819585952000004
5,2.637701151999998
6,-0.01293654915200193
7,2.6974790524819525
8,6.1275024995518095
9,10.248432847681954
10,0.5449283436357106
11,6.277537468933694
12,3.7599117186965785
13,7.022014982191294
14,2.241160063449456
15,7.465372539833567
16,8.826955580743686
17,5.592703888343806
18,10.415336595570409
19,3.691591329052386
20,5.033433499509442
21,8.74611285246479
22,4.530090149558504
23,9.760568954271974
24,8.784512058844797
25,8.443656627699
26,9.994982859102493
27,8.70036088610317
28,4.774338868469073
29,4.776633652781129
30,4.7577183334867925
31,8.000541150907253
32,8.310984402518216
33,7.093394521511357
34,4.64113201989602
35,4.843527139329979
36,10.473904436814223
37,8.197528004700075
38,3.7410236934924797
39,5.737282669798958
40,7.222899061533099
41,6.652194541287713
42,7.2480151667887185
43,7.793213650109806
44,6.159176414967305
45,6.259829014058539
46,11.07154106336776
47,3.718163311652688
48,5.4157489180342395
49,7.256894392586844
50,11.509205491240664
51,8.541569185044523
52,9.623027615859428
53,9.056580025406106
54,8.275906573219913
55,5.681500036617649
56,6.448315915897922
57,9.038185799102905
58,6.738389138598052
59,2.7144451483409853
60,10.02863197776685
61,4.117280294424063
62,4.281379529138064
63,8.753211047822788
64,6.084552264981653
65,4.090244922395357
66,5.388587758217909
67,4.877388647581711
68,3.8228570127041053
69,7.961443281125753
70,7.556295511912708
71,-0.1069272875897127
72,7.548285989180556
73,2.7672481253411547
74,7.423609888880151
75,5.446204248237109
76,7.971829580323401
77,5.806028986202023
78,8.461910886069404
79,4.6801522982883625
80,1.2185042764382388
81,2.341869369818596
82,8.105614059439063
83,9.240997680750866
84,7.36025499029904
85,8.588499837125482
86,9.568894735308618
87,8.469325840573447
88,10.515433690425311
89,9.5508565147328
90,9.270305658218035
91,3.5052389035270153
92,12.694642048849914
93,8.976661486152125
94,0.49408887958202286
95,3.6032313709869186
96,9.113769505944902
97,11.127910136615583
98,9.694541263680208
99,-0.18677564144104508
100,12.143661351952005
101,8.95638791955571
102,8.060749127600047
103,7.590639905225885
104,8.583049265320597
105,-1.634603803726236
106,3.6573861152450036
107,3.1172460953476957
108,2.653728729129625
109,2.651075000400624
110,4.648423925400266
111,14.300684503616367
112,0.8763073398937422
113,12.430323408089635
114,3.01927862330524
115,3.6313451780667947
116,13.256279063611373
117,9.672205233895738
118,6.1876803498232675
119,1.6277138328887304
